ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,BILL_AMT2,PAY_AMT2,BILL_AMT3,PAY_AMT3,BILL_AMT4,PAY_AMT4,BILL_AMT5,PAY_AMT5,BILL_AMT6,PAY_AMT6,default.payment.next.month
68,300000,2,1,1,67,1,1,1,-1,0,-2,18817,14757,88844,6005,40571,619,49179,3945,48688,873,49437,5268,0
69,300000,2,1,2,36,6,0,1,-1,0,-1,269,6399,59429,12654,16635,16502,8712,5302,130926,15721,9164,4696,1
70,10000,1,1,2,59,1,0,0,-2,0,1,16088,2243,65039,2475,39819,9056,1386,669,68834,19682,116300,5815,0
71,300000,2,2,2,60,-1,-2,0,-1,0,0,65631,24940,1340,2253,1742,1176,92745,21625,18277,9751,186500,4938,0
72,150000,2,1,2,38,0,1,0,1,0,-1,12863,6799,72099,601,29231,6614,45042,1977,44595,5281,84114,6071,0
73,300000,1,1,2,36,0,1,0,0,0,0,10561,12699,73351,1073,23223,2502,62130,297,94468,9591,12754,3929,0
74,200000,1,3,2,67,-2,-1,3,4,4,4,3171,1259,85267,5422,28584,3694,124017,9985,84736,9385,47251,3059,0
75,10000,1,2,2,51,4,0,3,2,3,0,15506,2632,17117,3259,126934,16562,41035,18473,18741,9040,26143,1034,1
76,200000,2,2,1,46,0,1,-1,2,1,0,12581,4984,6201,7421,14061,593,37367,10766,62093,2250,31471,6228,0
77,200000,1,2,1,43,-1,-1,-1,0,0,1,3913,3404,2099,2260,181415,6290,114930,7822,76727,22908,55976,2518,0
78,30000,1,1,1,72,1,-2,0,-1,0,0,34763,2130,22798,25172,166413,11940,111191,5118,26965,16266,27728,8601,0
79,10000,2,2,1,68,-1,-1,1,1,0,2,227558,3894,49756,17465,56432,24489,57867,18725,26078,3822,42175,21625,0
80,200000,2,2,1,68,0,0,4,3,-1,2,83260,6504,271,4341,5455,5629,41657,98,22127,3197,16134,1394,0
81,30000,2,2,1,22,1,0,3,1,0,1,7927,1979,17642,14667,26066,4438,21119,8644,61787,3074,42321,2107,0
82,30000,2,2,2,58,0,-1,2,5,2,2,78873,20892,12011,1246,41197,7999,56426,155,24490,13775,19353,4910,0
83,10000,1,2,2,31,3,6,4,1,1,1,34531,7164,25953,8931,14052,10171,16387,37,121934,9697,11812,3721,1
84,80000,2,2,2,25,1,1,1,-1,1,-1,18592,1121,170114,14248,89420,14717,20935,14313,46652,5093,92545,11294,1
85,150000,1,2,2,67,-1,-1,-1,4,3,0,9442,760,10864,2255,22538,1475,16008,222,5808,15313,5167,3975,1
86,300000,1,2,2,34,0,2,3,2,2,0,78893,4820,29018,9328,43463,3542,45043,4675,42435,6075,7516,39316,0
87,150000,2,2,1,36,1,0,1,0,-1,-1,108220,4613,34471,7416,10761,40141,19455,28854,82018,7778,121259,8364,1
88,300000,1,2,2,68,1,0,2,-1,5,-1,37110,7150,539,1546,78036,12511,41563,1760,61877,20771,115673,4951,0
89,200000,1,1,2,61,0,-1,0,1,1,-1,13132,7821,83835,15004,20290,2887,11065,12349,131821,2043,12045,2632,0
90,20000,2,2,2,71,0,0,2,0,3,-1,14733,2980,13879,25502,41680,12160,41471,8918,33877,2275,42293,4903,0
91,10000,2,3,1,57,1,-1,-1,4,-1,-1,35876,2114,34784,6950,114428,24849,34539,6141,71755,2220,16569,9794,0
92,150000,2,1,2,41,0,1,1,1,2,0,31133,5286,223885,12845,123306,33370,56227,5754,24784,17114,33063,4189,0
93,150000,1,2,1,28,-1,0,0,-2,-1,-1,16507,18017,88941,2791,6333,1411,116141,879,30788,3529,229674,15149,0
94,200000,1,2,2,34,0,0,-1,0,-1,2,101371,3919,10703,3461,11543,12625,8286,150,23164,2947,38419,857,0
95,80000,2,2,2,29,0,1,0,2,0,-1,33145,3732,65566,11940,45615,408,203796,1318,109675,20,6880,4402,0
96,30000,2,3,2,32,2,1,3,0,0,0,61531,2258,24540,26938,44092,5740,17024,3408,4250,15293,19507,9263,1
97,200000,2,2,2,35,-1,1,0,0,3,0,43913,3375,361846,4624,29082,16723,14030,1580,42314,9805,23929,3604,0
98,100000,2,3,1,45,-2,2,1,1,0,-1,284,3912,2423,3725,39368,244,113185,167,14438,1668,4743,6446,1
99,30000,2,1,1,41,2,1,2,0,-2,-1,43410,22669,96825,2153,22976,265,109537,23586,53416,5929,27647,2386,0
100,10000,2,1,2,66,0,4,0,1,-1,0,14275,3663,4776,8156,135815,13634,14858,611,3064,4381,70869,1751,0
101,30000,2,2,1,54,-2,0,0,-1,1,0,14756,23078,25109,6364,3619,10490,29139,16006,82202,11330,78523,5197,0
102,80000,1,3,3,46,0,3,1,1,0,0,57565,2808,5537,11295,2754,101,1244,9258,14229,12554,124473,4024,0
103,30000,2,3,2,74,3,5,-1,0,1,7,58457,556,104433,25717,117094,12017,23587,2528,97554,1457,51751,1873,0
104,10000,2,1,2,24,-1,-1,0,2,-2,1,42180,1196,30830,2248,35514,6713,54509,10026,27092,9126,12077,8751,1
105,80000,2,1,2,45,0,1,3,0,-1,0,161682,3732,246988,17503,66727,6071,62055,3293,15559,6548,59862,149,0
106,150000,2,3,2,60,1,1,1,0,-1,-2,60026,8382,38225,10634,37937,13406,2514,15381,92519,4937,10370,6846,0
107,150000,1,2,1,52,-1,3,0,-1,1,8,162018,4577,62244,8014,70992,3004,24847,2740,65249,2271,98423,6008,0
108,300000,2,2,1,49,1,0,2,0,1,0,101708,5793,61839,8089,37913,8164,3744,6330,280,9747,42594,3151,0
109,30000,1,2,1,42,1,0,0,3,0,1,129,4999,7413,6782,71051,14398,1895,1544,60719,12169,40377,510,1
110,150000,1,1,1,54,0,-2,0,1,0,0,107787,2819,84448,7545,68179,1522,39172,17189,35807,33554,81901,14802,1
111,10000,1,1,0,39,-1,2,-1,0,-1,3,6063,183,21545,3980,64803,25071,124472,845,36299,2105,70474,6411,1
112,50000,2,3,2,70,0,0,3,0,-1,4,12236,6483,47003,13482,5147,5292,56401,13244,54532,12882,2804,6762,0
113,50000,2,1,2,26,1,4,1,0,0,0,160897,32567,7030,20127,32972,2048,74955,19947,51082,13941,10294,4320,1
114,80000,1,1,2,40,2,1,0,0,-1,2,18392,8755,119730,10699,37863,5239,150691,12931,57194,16556,50158,9325,0
115,150000,1,1,1,36,-2,0,1,-2,1,0,1835,5844,158695,14852,48543,7644,553,3886,24190,1483,6203,1604,0
116,150000,2,1,2,53,0,2,-1,1,0,0,83689,5661,7135,9022,30141,1747,14741,39,4317,11452,16647,18157,0
117,50000,1,1,1,29,0,2,-2,0,1,0,32899,22573,10711,2441,118823,54,6373,10579,67062,14494,28872,435,0
118,150000,1,2,2,42,0,-1,2,0,0,0,76049,6610,44194,10000,7257,1273,40279,4229,12200,1401,6650,2090,0
119,30000,2,3,2,54,0,0,3,0,-2,0,90074,2698,104550,1675,26764,285,11898,2223,30357,26238,35227,5772,0
120,100000,2,1,2,67,1,-2,-1,0,0,0,41372,6735,27865,7089,111684,4259,48902,70,146412,15326,38846,1206,1
121,20000,1,2,2,39,-2,0,0,1,0,-1,51392,21780,194566,6779,120398,6298,190147,21722,8778,8135,8244,458,0
122,300000,1,1,3,61,-1,1,3,3,0,0,20801,1672,71796,282,87900,10473,57404,12877,28154,12315,11064,14876,1
123,80000,2,1,1,61,1,0,2,5,0,0,4999,148,14374,1387,69244,1142,10898,8255,86848,31112,32924,15022,1
124,100000,2,2,0,57,0,-1,0,0,0,0,83960,6296,89401,7327,50217,18052,6615,473,19375,6225,53606,5983,0
125,50000,2,4,2,24,0,1,-1,2,-1,-1,102237,1911,44410,12081,52385,1339,16536,11769,282,6312,97267,21995,0
126,150000,1,3,0,25,-1,5,0,-2,0,0,154229,5342,209370,51133,51543,8037,72164,6056,107363,150,49734,1295,1
127,300000,2,1,2,32,4,0,2,0,-1,-2,37342,1998,1019,3299,54290,5366,26413,2725,59137,20059,79408,1443,1
128,150000,1,1,2,53,0,4,0,0,0,3,13810,1574,77979,4631,13045,594,31292,1996,76721,3747,38020,4700,0
129,10000,1,3,2,71,0,3,4,-1,1,0,23247,6394,21945,2694,2811,1344,8254,4686,7039,862,2157,27240,0
130,10000,2,1,1,29,-2,1,0,-1,0,1,6962,1543,5437,12237,49158,30970,34706,634,27035,3470,16823,9695,0
131,300000,2,2,1,64,1,-1,3,0,0,-1,21483,14944,138962,798,33392,763,817,1140,2211,35044,4126,4135,0
132,300000,2,1,2,49,8,1,0,1,-1,0,62763,2879,142513,2061,115648,6777,6611,6937,28943,3079,118489,6353,0
133,50000,2,2,2,50,6,1,0,0,3,-1,82123,5061,13380,2359,3379,6131,81641,2184,42939,6902,23460,7910,0
134,300000,1,2,1,49,0,1,2,3,0,0,57379,9909,97054,616,23369,482,10456,796,10055,3476,9367,2574,1
135,30000,1,2,2,65,5,0,0,2,1,0,26840,8784,3120,5287,23785,2015,8082,15573,21376,15318,10850,743,1
136,150000,1,3,2,72,0,2,-2,0,0,2,98416,6642,3832,5026,13180,1538,19683,18869,4655,16378,4265,922,0
137,100000,1,1,1,37,0,3,-1,3,0,8,20927,8668,7366,1040,10762,20131,42762,8104,10903,3032,5232,2925,1
138,200000,2,2,1,55,2,1,0,3,-1,5,12179,6404,60644,11276,6287,802,20022,2854,20399,5016,31712,5104,0
139,300000,1,2,2,33,2,-1,5,0,1,0,16609,8468,63103,6879,17503,6258,534,12754,14419,17547,68821,73,1
140,80000,2,1,2,66,0,2,4,-1,0,0,76795,5131,19052,13484,8864,8256,14047,1177,16275,43975,80787,11922,0
141,10000,2,1,3,56,0,-1,5,0,0,0,89999,13544,4776,29257,34736,4199,701,10075,7334,1277,24431,3258,0
142,30000,1,1,2,24,5,2,3,-2,1,8,42224,4623,105537,1672,107963,5044,26609,7530,12875,6114,2042,524,0
143,200000,1,1,1,21,0,1,2,-2,-1,3,45144,6803,83773,2148,1859,13438,12086,3460,25427,10979,27151,3591,1
144,100000,1,3,1,58,3,0,-2,0,0,2,6614,843,144893,5052,43987,7008,80266,14650,33825,3434,5569,835,1
145,200000,1,2,1,63,1,0,0,4,-1,3,23059,3332,46772,1547,1820,21222,9251,24594,29109,9056,6461,14712,0
146,300000,1,2,2,47,-1,2,5,-1,-1,0,48281,7771,66852,4367,11134,309,90800,3431,79235,2284,118045,14007,0
147,50000,2,2,1,48,-1,0,-1,0,8,-1,66696,6844,83999,17752,59769,26889,3273,2256,15978,8675,177282,31073,0
148,10000,2,2,1,45,-2,0,1,0,0,0,9080,7714,29348,10809,15590,25282,23131,3282,8625,11534,49162,1066,1
149,10000,1,2,2,44,-2,0,1,0,1,2,151235,1018,106524,7250,1134,3472,225502,952,95408,5234,190,1608,0
150,50000,1,1,1,22,1,0,0,2,0,-2,8371,7513,119970,1770,48922,19056,49480,1556,73628,5446,32007,16124,0
151,150000,1,1,1,43,-1,0,4,-1,1,0,68439,2311,5247,24944,104603,8558,142965,1002,9188,840,97490,8277,1
152,20000,1,1,1,71,-1,-1,0,-2,1,-1,63058,4478,39118,5242,14601,848,23691,1284,17789,7994,4684,5312,1
153,30000,1,3,2,42,0,1,4,1,8,0,32561,6661,181238,8388,45205,7120,6802,2371,67637,7507,40816,8579,0
154,10000,1,2,2,38,1,3,1,3,-2,1,5473,2026,14868,2096,19431,2497,5043,1468,111023,9255,73233,6860,0
155,80000,2,2,2,72,0,2,-2,0,1,0,42043,28413,2992,6764,8139,2231,46326,3081,80477,1133,3881,318,0
156,10000,2,2,3,74,0,0,1,5,0,0,29819,1253,16207,20998,92976,105,30747,12268,92677,18869,87323,2239,1
157,200000,1,2,2,36,0,-2,0,0,2,4,41570,467,51875,399,857,10305,4864,573,17931,11877,57030,3704,0
158,10000,1,2,1,52,0,0,1,1,0,0,43210,25766,50966,24111,107454,2678,59340,21084,38530,3715,115315,14233,0
159,10000,2,1,2,23,4,-1,0,0,0,0,3321,20886,3144,6664,50486,21249,161317,10672,31994,1675,35214,8316,1
160,20000,1,1,2,21,5,1,1,0,-1,-1,18716,8654,43646,11355,50927,396,65242,3909,23856,2729,115228,341,1
161,20000,1,3,1,54,-1,-1,1,0,0,6,19194,2643,24192,14521,9173,15349,15507,12041,248,788,17066,5419,1
162,100000,1,2,2,65,-1,-1,2,5,0,-2,16410,8338,62625,5646,55780,719,65800,13149,42638,5361,33951,17468,0
163,150000,2,1,2,46,-1,0,1,0,0,3,73868,17763,36321,1258,11999,2451,6344,14320,53464,3554,30971,3814,0
164,80000,1,1,2,66,0,0,0,5,-1,1,111197,6102,7984,2656,107469,2946,44488,6569,22910,4641,17891,9487,0
165,10000,2,1,1,60,3,0,-2,0,-1,3,31384,3283,34627,9942,15129,9472,12730,19511,24349,543,3130,5569,1
166,10000,1,2,1,66,2,5,0,8,0,1,1684,3739,30614,6934,114328,1786,24002,7124,55082,815,150496,3276,1
167,30000,1,2,2,26,0,0,1,1,2,0,52486,13207,2737,137,331947,5084,5628,7021,12744,842,82222,269,0
168,20000,2,2,3,64,2,4,0,2,0,1,3590,962,20122,6289,15905,3455,60355,19565,14006,3907,30449,4593,1
169,80000,1,3,2,56,6,0,6,-1,0,-1,30948,2848,70233,18671,10485,10960,12635,500,3276,6290,46618,10049,1
170,100000,2,3,1,29,-1,3,7,3,0,0,21449,16248,54390,1620,43085,8050,179407,1993,21333,27868,50832,3721,0
171,150000,2,3,1,27,5,0,0,-2,4,2,5326,16250,41602,8494,6046,1096,32493,4083,2176,9792,1792,16576,0
172,50000,1,1,1,51,2,-1,5,-1,1,0,67526,1028,4089,8933,27842,1018,12044,2157,47070,6988,19,4326,1
173,150000,2,2,1,53,-1,0,1,0,1,2,14153,2798,83571,8319,33191,7803,97716,6643,41157,2064,10200,1273,0
174,200000,2,2,2,74,2,0,1,0,0,7,30728,2173,8726,135,50481,5899,197529,12569,33,8280,32999,8813,0
175,10000,1,2,1,24,-1,0,2,-1,-1,0,39220,2472,122135,2922,775,12088,19653,9868,78046,21226,72188,5039,0
176,100000,1,3,1,26,-2,1,1,2,3,-1,12862,2645,45010,4364,31062,563,40326,11196,9667,1915,87464,423,0
177,200000,1,1,0,31,2,0,2,0,-1,0,16744,20056,13782,16247,113256,46702,16742,219,71051,2389,4148,1902,1
178,80000,2,2,1,60,3,0,-2,3,-1,-1,66660,5848,144003,3492,22791,10992,128271,7995,10535,1643,50711,2795,0
179,50000,1,2,1,33,0,1,3,-2,-1,-1,11980,31920,102727,20641,46931,22976,12359,1743,11356,14957,121639,13281,0
180,20000,1,1,2,29,-2,0,0,0,1,-2,6962,14244,72765,1414,201284,9724,10281,1320,25703,7736,45593,4701,1
181,100000,1,2,2,71,1,-1,0,-1,-1,0,18721,154,35035,5639,3191,363,35585,3937,44041,2552,45223,13348,0
182,100000,1,1,1,38,0,0,3,0,0,-2,49487,659,1674,10546,155240,11019,33332,12240,127378,1664,31541,10099,0
183,10000,2,1,1,46,0,0,0,8,-1,0,38784,321,20326,3348,122208,2201,10303,13361,38203,9052,37111,9789,0
184,300000,1,3,1,43,0,-1,7,3,3,2,4958,2813,6728,476,11161,2713,18804,6256,3960,9573,74907,6880,0
185,100000,1,2,2,43,1,0,-1,1,-2,0,48043,1654,43587,3115,33216,8019,43882,203,43584,2240,26541,4857,0
186,30000,1,1,1,71,0,-1,0,0,-1,2,96892,12574,93387,12018,29329,7027,10314,2125,25032,8001,27116,1719,1
187,50000,1,3,1,25,-1,0,0,1,-2,0,12026,9865,86235,6998,63335,26187,14204,4018,154417,291,20808,703,0
188,50000,1,1,2,30,2,2,-1,0,0,0,108342,3450,12682,3865,2228,76,126963,24076,72681,2388,14374,17263,1
189,30000,2,1,2,67,0,-2,-2,-1,0,0,40887,10101,59745,4100,206466,9535,12447,3779,5250,7098,44325,18703,0
190,30000,1,1,1,60,0,-2,1,1,2,6,10167,26701,9790,198,18436,21570,51424,4465,45241,6288,112295,1270,1
191,30000,1,1,1,39,1,0,0,2,-1,0,32057,15320,8189,8049,76711,1420,4829,24158,36181,184,35551,7175,0
192,50000,2,1,2,28,0,4,1,0,1,-1,133463,7964,12006,14104,171459,8088,38858,8661,14508,14566,93103,10231,0
193,150000,1,2,2,35,0,1,5,-1,1,0,10395,13389,23996,15410,57693,24858,67580,44867,11414,11498,47348,1770,0
194,50000,2,4,2,39,0,1,4,2,-1,1,4520,7006,6380,8149,13551,5136,61008,13406,12557,9543,17910,4416,0
195,300000,2,3,1,24,0,0,1,-1,0,0,78784,27352,28435,17184,209250,215,21090,1202,31539,15857,9934,56,0
196,10000,2,2,1,55,0,2,0,5,-1,0,240185,639,54870,18076,65611,1980,63858,3482,38485,3633,20227,10613,1
197,200000,2,2,1,57,2,0,0,-2,0,-1,14879,1759,96440,1584,157640,7147,253340,3448,148706,12749,136183,118,1
198,150000,1,2,2,32,6,1,0,0,2,2,23173,13748,5484,5869,4766,20127,102837,3019,9258,2050,31541,16473,0
199,20000,1,2,1,51,0,4,3,0,-2,2,49411,6048,3064,15078,34309,4416,11027,600,59729,2125,214659,12816,1
200,200000,2,2,2,36,4,0,2,0,0,2,59462,7757,101774,1226,73385,2181,40935,2784,9067,7312,154907,8554,1
201,10000,2,3,2,60,0,0,1,2,3,0,94063,2041,11846,2904,100642,1417,54350,12529,1153,3205,79061,1890,0
202,300000,2,1,2,41,0,-1,1,1,2,0,22060,8030,52741,10636,48187,42417,19858,4047,19560,690,54258,10262,0
203,300000,2,1,1,40,-1,-1,0,5,-2,1,94740,29663,59298,3103,15393,4858,23261,29394,49813,198,21878,5958,1
204,20000,2,1,1,70,1,1,0,-1,2,1,16232,291,51164,2123,37522,11721,37669,7355,2534,20372,24664,2236,0
205,150000,1,2,3,42,0,1,0,0,0,-1,661,11756,28133,6431,499,20796,22333,18172,32522,15290,33253,13132,0
206,30000,2,2,1,64,1,1,0,0,0,-2,54014,35574,33537,23066,18963,9081,51365,1501,52439,6761,8348,3605,0
207,150000,1,2,2,25,1,-1,4,1,0,1,63607,3777,104830,1375,38095,41166,14840,5298,14418,7374,225095,27,0
208,300000,2,1,1,28,7,2,0,-1,1,2,82657,7381,59004,8528,32653,2206,81338,5308,59418,2045,140812,7506,1
209,50000,2,2,1,28,2,0,8,2,0,0,7793,33,25239,965,103184,9666,30961,14067,21712,1827,4263,12529,0
210,10000,1,2,2,53,5,1,0,-1,4,1,225681,2226,54169,4844,34179,3704,80494,5942,32509,2895,9240,6820,0
211,20000,2,2,2,47,0,2,-1,-2,0,0,13918,9089,12668,1234,49487,14980,105274,10445,59884,5377,108991,8092,1
212,10000,1,3,0,50,0,1,6,0,1,2,21363,15218,32356,8303,299637,5531,74816,11939,21503,8424,27920,2842,0
213,80000,1,2,3,48,0,-1,-1,0,1,0,48732,7382,87957,673,68069,4351,79284,4802,54090,60239,169541,3069,1
214,80000,2,1,2,60,0,0,0,5,0,0,29584,3106,36828,16214,47464,61,57756,14052,3938,1215,25632,6064,1
